stock_code,transaction_date,closing_price,matched_volume,matched_value,foreign_net_volume,foreign_net_value,proprietary_net_volume,proprietary_net_value,buy_orders,buy_volume,sell_orders,sell_volume
BID,2022-04-14,40.500000000000000000,1890900,77.150000000000000000,194700,7.95,,,1994,2870200,1233,3580600
BID,2022-04-13,40.900000000000000000,1996100,81.280000000000000000,73900,3.02,,,2548,3393800,1711,3260200
BID,2022-04-12,40.450000000000000000,3187500,130.620000000000000000,-108000,-4.45,,,4215,5287300,1695,4884300
BID,2022-04-08,41.900000000000000000,3146100,132.940000000000000000,-11200,-0.46,,,3686,4822900,1496,5109500
BID,2022-04-07,43.050000000000000000,3152800,138.350000000000000000,-272500,-11.93,,,1966,4389500,3500,7329500
BID,2022-04-06,43.500000000000000000,3242600,139.790000000000000000,-578200,-24.85,,,3054,6235100,2508,5049700
BID,2022-04-05,43.300000000000000000,2905000,126.190000000000000000,-138400,-6.01,,,2834,4871200,2379,5013800
BID,2022-03-29,42.400000000000000000,1733800,72.720000000000000000,168100,7.09,,,2015,3546700,1399,2692100
BID,2023-05-12,45.000000000000000000,428300,19.200000000000000000,-22000,-0.99,,,758,955400,737,959400
BID,2023-05-11,45.000000000000000000,510500,22.950000000000000000,170600,7.67,,,896,983600,857,1222200
BID,2023-05-10,45.000000000000000000,595000,26.810000000000000000,16000,0.72,,,950,1043300,1270,1733000
BID,2023-05-09,45.100000000000000000,650900,29.330000000000000000,6200,0.28,,,602,1164100,1505,1790800
BID,2023-05-08,44.700000000000000000,1130500,50.210000000000000000,-18900,-0.83,,,1092,2037600,1726,1959100
BID,2023-05-05,43.450000000000000000,296500,12.910000000000000000,-67900,-2.96,,,622,592100,456,686500
BID,2023-05-04,43.750000000000000000,376500,16.400000000000000000,-184000,-8.01,,,755,692200,632,834900
BID,2023-04-28,43.500000000000000000,414600,18.160000000000000000,-37500,-1.65,,,0,0,0,0
BID,2023-04-27,43.900000000000000000,163100,7.160000000000000000,-1100,-0.05,,,578,411400,456,578300
BID,2023-04-26,44.100000000000000000,405100,17.720000000000000000,91775,4.05,,,0,0,0,0
BID,2023-04-25,43.550000000000000000,539200,23.470000000000000000,-72581,-3.16,,,709,780200,903,917200
BID,2023-04-24,43.700000000000000000,462900,20.350000000000000000,-81927,-3.58,,,800,673700,875,995900
BID,2023-04-21,44.200000000000000000,354500,15.700000000000000000,-58900,-2.60,,,611,773700,762,755800
BID,2023-04-20,44.600000000000000000,256900,11.420000000000000000,106000,4.72,,,645,699900,575,721400
BID,2023-04-19,44.400000000000000000,452100,20.070000000000000000,-99399,-4.41,,,0,0,0,0
BID,2023-04-18,44.600000000000000000,639700,28.460000000000000000,-179699,-8.01,,,1148,1323300,879,1277200
BID,2023-04-17,45.000000000000000000,716600,32.070000000000000000,148204,6.67,,,801,1453200,1203,1354200
BID,2023-04-14,44.450000000000000000,618700,27.620000000000000000,-55000,-2.44,,,915,1176100,1027,1553500
BID,2023-04-13,44.950000000000000000,779000,34.890000000000000000,-4700,-0.21,,,1241,1547900,1322,1509300
BID,2023-04-12,44.400000000000000000,775500,34.390000000000000000,-216739,-9.62,,,1727,1792800,1397,1411500
BID,2023-04-11,44.400000000000000000,1229100,54.490000000000000000,-309523,-13.74,,,2570,2421300,1152,1740300
BID,2023-04-10,44.700000000000000000,1806100,81.580000000000000000,-355000,-15.87,,,2558,3380500,1444,3041100
BID,2023-04-07,45.650000000000000000,731900,33.450000000000000000,-171700,-7.84,,,963,1480400,759,1554600
BID,2023-04-06,46.000000000000000000,1514700,69.450000000000000000,-151199,-6.96,,,1762,2853900,2205,2482200
BID,2023-04-05,45.500000000000000000,1363800,62.320000000000000000,-448975,-20.43,,,2082,2162600,902,2606300
BID,2023-04-04,46.000000000000000000,889600,40.780000000000000000,-269143,-12.38,,,1355,1825700,778,1446700
BID,2023-04-03,45.900000000000000000,1263700,58.250000000000000000,-616050,-28.28,,,1888,1887300,1075,2100600
VNM,2021-08-04,87.100000000000000000,2873000,250.510000000000000000,176100,15.33,,,2391,4003400,3746,5356500
BID,2023-03-31,46.200000000000000000,643700,29.880000000000000000,-54100,-2.50,,,704,1715400,1892,1295500
BID,2023-03-30,46.200000000000000000,699700,32.520000000000000000,32600,1.51,,,783,1117600,1141,1632600
BID,2023-03-29,46.200000000000000000,303100,13.930000000000000000,38700,1.79,,,780,945200,729,1118300
BID,2023-03-28,46.000000000000000000,504000,23.440000000000000000,35100,1.61,,,580,1098400,1231,1348300
BID,2023-03-27,46.000000000000000000,672200,30.760000000000000000,187555,8.63,,,1240,1532000,820,1211700
BID,2023-03-24,45.550000000000000000,364600,16.700000000000000000,-16400,-0.75,,,865,780100,710,1448300
BID,2023-03-23,45.900000000000000000,414900,18.980000000000000000,-13000,-0.59,,,1210,1073100,691,1156300
BID,2023-03-21,45.350000000000000000,741600,33.510000000000000000,45900,-3.45,,,1236,1576200,537,1098800
BID,2023-03-20,45.350000000000000000,585800,26.680000000000000000,127407,5.78,,,1631,1324700,754,1268000
BID,2023-03-17,46.300000000000000000,310700,14.420000000000000000,57385,2.66,,,722,874700,863,1193900
BID,2023-03-16,46.250000000000000000,875700,40.730000000000000000,42708,1.98,,,968,1446700,1101,1631300
BID,2023-03-15,46.800000000000000000,628400,29.230000000000000000,-53900,-2.52,,,1066,1647600,980,1453100
BID,2023-03-14,45.050000000000000000,1444500,65.330000000000000000,-192828,-8.69,,,2371,2875900,1080,2666700
BID,2023-03-13,46.250000000000000000,933700,43.450000000000000000,123830,5.73,,,1563,1528200,1015,1733400
BID,2023-03-10,47.150000000000000000,862200,40.610000000000000000,24120,1.14,,,1927,1528900,1008,1785400
BID,2023-03-09,47.650000000000000000,1170600,55.740000000000000000,17100,0.81,,,1166,1696900,1291,2186000
BID,2023-03-08,48.000000000000000000,1229700,57.970000000000000000,338900,16.27,,,2015,2111900,1370,2347900
BID,2023-03-07,46.900000000000000000,1634600,76.280000000000000000,273672,12.84,,,1390,2438100,1689,3079100
BID,2023-03-06,45.800000000000000000,864900,40.150000000000000000,361397,16.55,,,947,1434800,1489,2150000
BID,2023-03-03,45.900000000000000000,735400,33.740000000000000000,228900,10.51,,,951,1515200,1058,1879100
BID,2023-03-02,46.400000000000000000,976200,44.930000000000000000,431000,20.00,,,753,1778800,1472,1892300
BID,2023-03-01,45.650000000000000000,740900,33.060000000000000000,60700,2.77,,,1733,2080700,847,1163900
BID,2023-02-28,44.100000000000000000,257600,11.420000000000000000,-19838,-0.87,,,507,673400,553,749300
